Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1847.8883329363716
FDW14,OUT017,1569.3403950676116
NCN55,OUT010,1875.6146394540106
FDQ58,OUT017,2585.906975516853
FDY38,OUT027,5184.487477251136
FDH56,OUT046,1924.3620775870158
FDL48,OUT018,600.9833054452963
FDC48,OUT027,2782.11325596154
FDN33,OUT045,1510.6192424268172
FDA36,OUT017,3083.5309024469357
FDT44,OUT017,1996.4935037957139
FDQ56,OUT045,1311.6659923542218
NCC54,OUT019,1857.1401681498924
FDU11,OUT049,2054.132023871655
DRL59,OUT013,893.7120228673812
FDM24,OUT049,2554.863191867507
FDI57,OUT045,3086.7148934163374
DRC12,OUT018,2763.252136518212
NCM42,OUT027,3196.690854890697
FDA46,OUT010,1135.578185773547
FDA31,OUT013,2803.7948709610246
NCJ31,OUT035,3883.4105157704457
FDG52,OUT046,802.6761242147265
NCL19,OUT019,362.2863873297456
FDS10,OUT035,3022.3819582516194
FDX22,OUT010,1456.510577559507
NCF19,OUT035,923.325588604712
NCE06,OUT046,2536.77563368032
DRC27,OUT046,3851.525659735182
FDE21,OUT035,2026.5084885115243
NCR42,OUT019,-1361.4598884169316
FDX51,OUT018,2866.840828622947
NCR06,OUT018,427.6701335107873
FDU31,OUT027,4948.160424087793
FDU59,OUT017,2711.865399829116
FDR03,OUT027,4754.888792700396
FDS49,OUT027,2757.7772294257293
FDD48,OUT010,-72.83631751890857
NCF18,OUT017,3119.4869521109936
NCD43,OUT027,3101.4377698276235
NCD54,OUT018,1993.6221182893846
FDY19,OUT010,-35.80302287889958
NCY54,OUT017,2816.989368373546
NCL19,OUT018,2019.2352357306004
FDP23,OUT010,1530.4639265695723
FDC26,OUT013,1823.1605600082094
FDR14,OUT010,-1029.5105777027875
NCS41,OUT035,3029.6090809767707
FDF41,OUT035,4050.3778255297752
FDU34,OUT046,2001.0302033223516
DRH11,OUT046,929.1679965484457
FDM03,OUT013,1738.443839292429
FDS31,OUT017,3025.862761210305
FDJ20,OUT017,2100.9398818773707
FDV44,OUT027,4493.355610656381
FDG02,OUT049,3106.197220315076
FDA09,OUT013,2910.7131479667128
FDT04,OUT013,679.3223878476174
FDL58,OUT019,2290.7918233386163
FDE52,OUT045,1443.6955288524048
FDW12,OUT035,2505.5498967295957
FDL51,OUT017,3553.474523891884
NCY42,OUT027,3691.918132887459
FDR07,OUT017,1666.9851632822456
FDN40,OUT045,2362.7811334748394
FDB35,OUT027,2958.4453398167825
FDA22,OUT017,2738.737533348181
NCL06,OUT046,4114.821055993216
FDI35,OUT013,2915.9125213200277
NCW42,OUT045,3413.3683740221995
NCX06,OUT049,2941.645471170714
FDC37,OUT027,3200.682626378689
FDZ14,OUT018,1732.4719856665224
DRG49,OUT049,3955.6858091042245
NCG06,OUT045,3958.0775430969893
DRC36,OUT045,2723.966122738229
FDV21,OUT019,60.218811775377446
FDB53,OUT046,2356.396120596324
DRP47,OUT019,2039.8332139681206
FDA14,OUT013,2349.481235052677
DRC24,OUT035,2572.275518735457
FDW21,OUT018,1403.2080747194038
NCH29,OUT046,1553.165729219406
FDU58,OUT013,3075.6121785258906
FDY27,OUT017,2933.877835392903
FDV56,OUT035,1952.177466127293
FDT59,OUT046,3657.26762485767
FDB23,OUT046,3622.522061826772
FDR49,OUT045,695.4414437643434
FDB03,OUT010,1918.339093647106
FDN39,OUT045,2616.3060436039705
FDX02,OUT027,4983.5828969805425
FDQ16,OUT027,3192.6003025613973
FDU35,OUT018,1327.6730717507705
NCT29,OUT013,1963.239405817168
FDZ27,OUT046,819.1008161875995
FDN57,OUT017,2350.306041491142
FDA03,OUT018,2094.5300642558645
FDZ36,OUT045,2922.59752444361
NCU05,OUT013,1326.9202271403922
FDT39,OUT018,2187.946083230101
FDK60,OUT017,1711.2903167739405
FDZ25,OUT017,2846.6538552606
FDG12,OUT046,2013.7818064989674
DRB01,OUT019,1114.4758354857288
NCC43,OUT027,5374.97966269015
FDX13,OUT019,2031.18287873179
FDM22,OUT049,1029.6644628734014
FDJ03,OUT027,2311.064689927335
FDU14,OUT018,3675.7729285476876
FDB33,OUT010,632.9948207792713
FDP27,OUT046,3014.135848795687
FDO38,OUT010,-668.5303267607142
FDE28,OUT027,5147.922292134021
FDO27,OUT035,1705.2848317114112
DRL23,OUT027,3171.1086768643645
FDS28,OUT046,968.513595277441
FDX24,OUT013,1541.6376501519608
FDZ02,OUT035,1750.9754942529516
FDL46,OUT045,1813.811759304765
FDS60,OUT027,4298.642367545848
NCO06,OUT017,640.6147808584246
FDO16,OUT035,1531.470791576599
FDC60,OUT049,1547.3317677547666
FDA48,OUT018,3198.286604368569
FDZ36,OUT027,4451.411196270605
FDK27,OUT045,1881.3411816080438
FDW23,OUT018,383.5674852483685
FDM14,OUT018,1507.7191535257539
FDM14,OUT013,1785.7660326437199
FDW60,OUT018,2601.7227329438997
FDE21,OUT013,1911.6037844172747
NCM42,OUT035,1885.8019264033287
FDY59,OUT010,-385.53783344457383
DRI49,OUT049,1381.0444941044486
FDT28,OUT019,511.21704689336093
FDQ22,OUT018,406.8957636214782
FDR60,OUT049,1334.097602642169
FDC50,OUT019,-395.9144271206985
FDV24,OUT013,2444.2795282695392
DRF48,OUT010,1069.8988940310023
FDQ47,OUT046,648.8019125975909
DRN36,OUT049,1659.275854798333
NCY06,OUT035,2177.6691773665507
FDE52,OUT035,1646.6940207925145
NCB54,OUT045,1941.7322504308595
NCF31,OUT035,2552.9849497413798
FDJ08,OUT027,4453.217113441902
NCC07,OUT017,1794.900029024719
NCD19,OUT027,2329.950050009137
FDL46,OUT049,2009.8534930243495
FDM20,OUT045,3827.7565315236993
NCI06,OUT010,926.4203122081758
DRM11,OUT035,4221.907301379226
NCH07,OUT018,2214.41272348874
FDS23,OUT013,2089.2436885962497
FDO49,OUT018,595.8223161180215
FDS35,OUT049,1163.1292586325553
DRK39,OUT045,1262.7966360029825
DRI39,OUT049,1041.2598624559469
FDV04,OUT017,2645.1724885160365
NCN14,OUT035,3010.588109417335
FDH08,OUT013,3696.1557904736264
FDS20,OUT046,2909.595440096812
FDV40,OUT049,1341.3973567804126
FDZ48,OUT010,-142.99846867259976
FDS24,OUT027,2915.0893366224054
FDK44,OUT049,2857.8504372275333
FDS48,OUT045,2341.198770551658
FDK26,OUT010,1102.1238437498205
FDD23,OUT045,2970.9008308634247
NCH54,OUT017,2646.014604622012
NCP14,OUT010,-246.14737488020194
FDM60,OUT010,-1198.0952131838878
FDV24,OUT017,2508.93451275557
FDH08,OUT018,3352.7716965196005
FDS12,OUT027,3472.922279888511
FDR39,OUT027,4316.677452326427
FDP12,OUT027,2124.1978341435297
DRF60,OUT027,5175.4446207989895
FDC09,OUT035,1852.5936805181595
FDF50,OUT018,2861.104957064728
FDG28,OUT035,4043.7090828779624
NCE19,OUT017,992.7397894715682
NCM53,OUT010,-198.70033840066105
NCN18,OUT049,1849.269449346942
FDF32,OUT035,3301.6825847039136
FDF11,OUT013,3867.7614757384567
DRI59,OUT049,3649.6932856661037
NCG54,OUT035,2810.0639993304626
FDM44,OUT046,1644.7463302770436
FDT57,OUT018,3468.0331318980175
FDV24,OUT046,2403.9269413159063
FDI50,OUT019,1756.0685072649349
FDS09,OUT035,1039.1501758797042
NCC31,OUT027,3897.0547414778816
FDQ07,OUT019,1598.250853292517
FDC22,OUT017,3174.683552744418
FDZ56,OUT046,2702.9122763822297
FDZ40,OUT019,-994.2719896609242
FDS46,OUT027,3397.748978111307
DRD24,OUT045,2170.621004471651
FDV45,OUT017,3110.4343803364
FDL26,OUT045,2414.006533004521
FDA56,OUT018,1709.525000160303
FDN27,OUT046,1904.1091487607678
FDM20,OUT049,3974.499564962123
FDO16,OUT017,1462.6759302833718
FDL03,OUT035,3297.2434159934473
FDE58,OUT046,1883.2183835335159
FDI02,OUT027,3287.5883911104183
NCC55,OUT019,-1265.213519984761
FDR03,OUT018,3038.626240718281
FDB14,OUT017,1637.9703441877841
FDR45,OUT013,3846.519978033774
NCN07,OUT017,2165.0032818932104
FDM51,OUT019,-195.29546465257107
FDT52,OUT027,5365.90869118863
FDL26,OUT046,2458.669476571469
NCZ42,OUT046,3760.117552871148
DRI47,OUT019,422.959142408072
FDW40,OUT013,2320.431619375843
FDN34,OUT046,2739.5509144722355
FDS01,OUT035,2989.229574271801
NCG55,OUT045,1777.5025446850063
FDC11,OUT035,1548.036297139134
FDX35,OUT018,3343.681808123504
NCB06,OUT046,2523.4131924036924
FDR09,OUT019,2195.707132160952
FDC53,OUT017,1683.618902904936
FDY45,OUT013,4070.6949531113373
FDA22,OUT010,755.4042713772101
FDE02,OUT035,1674.5147936167064
FDW21,OUT045,1614.9448048635638
