Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1647.0070115267413
FDW14,OUT017,1359.0189700420974
NCN55,OUT010,609.4661859405396
FDQ58,OUT017,2493.0025593678915
FDY38,OUT027,6246.842500905437
FDH56,OUT046,1951.5095465822972
FDL48,OUT018,750.9592718450099
FDC48,OUT027,2191.2945850914
FDN33,OUT045,1524.470766440256
FDA36,OUT017,3058.2377681968633
FDT44,OUT017,1954.9813120862586
FDQ56,OUT045,1360.9147692563959
NCC54,OUT019,593.8612968784468
FDU11,OUT049,2035.1827723384174
DRL59,OUT013,791.8921763202653
FDM24,OUT049,2442.65415568175
FDI57,OUT045,3028.2175964943085
DRC12,OUT018,2961.1196245115575
NCM42,OUT027,2951.149986189904
FDA46,OUT010,485.40297465972895
FDA31,OUT013,2858.901243629518
NCJ31,OUT035,3873.450550902589
FDG52,OUT046,763.9510923570824
NCL19,OUT019,303.2216619833863
FDS10,OUT035,3025.3628925254907
FDX22,OUT010,547.6808522456773
NCF19,OUT035,763.9510923570824
NCE06,OUT046,2537.8928641621537
DRC27,OUT046,3937.317800954535
FDE21,OUT035,1972.692216921579
NCR42,OUT019,92.03393627764001
FDX51,OUT018,3002.677353556706
NCR06,OUT018,604.7990972300761
FDU31,OUT027,5560.493964804957
FDU59,OUT017,2562.643539308297
FDR03,OUT027,5519.00107603346
FDS49,OUT027,2154.0110142507074
FDD48,OUT010,256.12914984261243
NCF18,OUT017,3052.059214948921
NCD43,OUT027,2573.2873277822514
NCD54,OUT018,2042.7001179208735
FDY19,OUT010,260.3060863047152
NCY54,OUT017,2875.0253310726825
NCL19,OUT018,2386.64183662353
FDP23,OUT010,548.4055144947115
FDC26,OUT013,1765.3432792839355
FDR14,OUT010,165.8847929091272
NCS41,OUT035,3134.3100227448817
FDF41,OUT035,3917.0680366014153
FDU34,OUT046,2039.3068494509696
DRH11,OUT046,860.5221114640526
FDM03,OUT013,1646.7260578954633
FDS31,OUT017,3072.2897046963767
FDJ20,OUT017,2016.4499777844446
FDV44,OUT027,5093.245931916352
FDG02,OUT049,3113.9116578437934
FDA09,OUT013,2985.6861159035016
FDT04,OUT013,610.9597866911687
FDL58,OUT019,573.9453812231576
FDE52,OUT045,1385.153942988161
FDW12,OUT035,2514.1920295395244
FDL51,OUT017,3666.2803393149093
NCY42,OUT027,3364.2683522312254
FDR07,OUT017,1556.6760110872754
FDN40,OUT045,2465.2234808033436
FDB35,OUT027,2477.4932499324505
FDA22,OUT017,2585.5829612670977
NCL06,OUT046,4175.267517077491
FDI35,OUT013,3056.675242644986
NCW42,OUT045,3749.8733199221356
NCX06,OUT049,3051.9417313478248
FDC37,OUT027,2596.7095007210155
FDZ14,OUT018,1904.2947407429567
DRG49,OUT049,3939.5101207389257
NCG06,OUT045,4116.37157948383
DRC36,OUT045,2876.9378327217087
FDV21,OUT019,292.8611211371828
FDB53,OUT046,2482.877973147905
DRP47,OUT019,594.7590244174078
FDA14,OUT013,2473.0440768794106
DRC24,OUT035,2546.459755919602
FDW21,OUT018,1603.5760142069425
NCH29,OUT046,1557.5229756996077
